,Game,Watch time (hrs),Stream time (hrs),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Year
25,Rocket League,49155757.0,2667764.0,173257,684,333152,5612,304,18.43,2018
26,Casino,48764089.0,151075.0,111963,179,5576,5567,17,322.78,2018
27,Poker,47564223.0,576970.0,46473,211,18123,5430,65,82.44,2018
28,Escape from Tarkov,46901551.0,1782180.0,58348,692,59356,5354,203,26.32,2018
29,Casino_old,46396278.0,314368.0,56607,120,7371,5296,35,147.59,2018
30,Warframe,43905442.0,1787207.0,402554,756,135015,5012,204,24.57,2018
31,FIFA 18,42810475.0,1389066.0,143683,1216,179312,4887,158,30.82,2018
32,Always On,38722454.0,121389.0,57919,21,252,4420,13,318.99,2018
33,Red Dead Redemption 2,38074417.0,1842853.0,382860,8785,203355,4346,210,20.66,2018
34,Creative,37082785.0,2547053.0,55284,660,140544,4233,290,14.56,2018
35,World of Tanks,36547513.0,1438966.0,62930,436,59901,4172,164,25.4,2018
36,RuneScape,35781311.0,963055.0,74563,281,45635,4085,109,37.15,2018
37,Black Desert,35581385.0,1502740.0,19518,392,55409,4062,171,23.68,2018
38,Street Fighter V,29196012.0,409895.0,194902,336,25294,3333,46,71.23,2018
39,Old School RuneScape,27840462.0,571353.0,105265,253,34615,3178,65,48.73,2018
40,God of War,26894681.0,1170191.0,292083,5006,128891,3070,133,22.98,2018
41,ARK: Survival Evolved,26413491.0,1554483.0,45885,765,93689,3015,177,16.99,2018
42,Rust,26168480.0,1098058.0,44150,412,74274,2987,125,23.83,2018
43,Slay the Spire,25811499.0,397795.0,48164,213,37548,2946,45,64.89,2018
44,Realm Royale Reforged,25713864.0,841940.0,195317,2408,121540,2935,96,30.54,2018
45,Super Smash Bros. Ultimate,24691100.0,346149.0,226029,3619,33939,2818,39,71.33,2018
46,Call of Duty: WWII,24340020.0,966459.0,148960,547,265061,2778,110,25.18,2018
47,SMITE,24334044.0,1346926.0,94811,546,84137,2778,153,18.07,2018
48,Warcraft III,24133475.0,344860.0,39861,98,12707,2755,39,69.98,2018
49,E3 2018,23461815.0,65525.0,1817345,5125,13368,2678,7,358.06,2018
0,League of Legends,1022398595.0,15163801.0,1084257,3235,587084,116725,1731,67.42,2017
1,PUBG: BATTLEGROUNDS,539830235.0,14366450.0,450958,4821,531818,61631,1640,37.58,2017
2,Dota 2,449879503.0,3864016.0,845577,1228,148660,51361,441,116.43,2017
3,Hearthstone,442752554.0,2261253.0,277440,1538,147275,50548,258,195.8,2017
4,Counter-Strike,419802259.0,7521830.0,1233293,2177,529109,47928,858,55.81,2017
5,Overwatch,239726714.0,10326057.0,329834,3561,665386,27369,1178,23.22,2017
6,IRL,182502035.0,2419080.0,213906,1123,194124,20835,276,75.44,2017
7,World of Warcraft,134721259.0,5849937.0,114050,3142,182309,15380,667,23.03,2017
8,Grand Theft Auto V,122232186.0,3753095.0,146629,1320,398048,13955,428,32.57,2017
9,Z1: Battle Royale,89752462.0,3492949.0,145097,1184,162230,10246,398,25.7,2017
10,Fortnite,81545645.0,3963222.0,147556,3848,303945,9309,452,20.58,2017
11,Heroes of the Storm,69610496.0,1679717.0,126179,718,96839,7947,191,41.44,2017
12,Minecraft,69438172.0,3271219.0,104992,1134,316273,7927,373,21.23,2017
13,RuneScape,62387598.0,1105533.0,94782,244,50861,7122,126,56.43,2017
14,Talk Shows & Podcasts,60401149.0,669894.0,314999,697,68166,6895,76,90.17,2017
15,Tom Clancy's Rainbow Six Siege,58009315.0,4631555.0,82332,1409,391450,6622,528,12.52,2017
16,FIFA 17,50350280.0,1231799.0,144454,717,133653,5748,140,40.88,2017
17,Path of Exile,48618896.0,1263881.0,85576,1522,48338,5550,144,38.47,2017
18,Destiny 2,48206876.0,3826378.0,465627,14140,252832,5503,436,12.6,2017
19,Creative,47650523.0,2664372.0,51358,561,131349,5440,304,17.88,2017
20,StarCraft II,47604563.0,665089.0,102646,183,29830,5434,75,71.58,2017
21,World of Tanks,45967888.0,1402998.0,109108,430,60546,5248,160,32.76,2017
22,Destiny,44553174.0,6355207.0,107657,4818,223892,5086,725,7.01,2017
23,FIFA 18,41523950.0,736181.0,89011,1550,77816,4740,84,56.4,2017
24,Poker,39664345.0,442694.0,42697,173,13198,4528,50,89.6,2017
25,Rocket League,38821131.0,1808101.0,207485,639,213145,4432,206,21.47,2017
26,SMITE,38659511.0,1340811.0,103551,405,81735,4413,153,28.83,2017
27,Dead by Daylight,37680037.0,1733028.0,42683,819,78544,4301,197,21.74,2017
28,Casino_old,33662940.0,157704.0,36379,54,3775,3843,18,213.46,2017
29,Black Desert,30968935.0,1167332.0,45596,343,44811,3535,133,26.53,2017
30,Call of Duty: WWII,29727146.0,906795.0,170705,2811,151038,3393,103,32.78,2017
31,For Honor,28598995.0,905296.0,146765,2064,109343,3265,103,31.59,2017
32,Street Fighter V,26489028.0,352663.0,205793,149,22552,3024,40,75.11,2017
33,Magic: The Gathering,24346621.0,192857.0,44857,74,6092,2779,22,126.24,2017
34,Warframe,23287399.0,1208383.0,88701,718,95186,2658,137,19.27,2017
35,Arma 3,22945793.0,923199.0,45593,422,45589,2619,105,24.85,2017
36,The Legend of Zelda: Breath of the Wild,21674805.0,524146.0,188399,1408,23265,2474,59,41.35,2017
37,Rust,21650592.0,820185.0,56947,299,54048,2471,93,26.4,2017
38,ARK: Survival Evolved,20857159.0,1538460.0,57668,694,100248,2381,175,13.56,2017
39,DARK SOULS III,20667144.0,1095353.0,271174,1109,111085,2359,125,18.87,2017
40,Friday the 13th: The Game,19437542.0,793435.0,125328,1499,100272,2219,90,24.5,2017
41,Clash Royale,19316064.0,262976.0,74923,107,25974,2205,30,73.45,2017
42,Resident Evil 7: Biohazard,18664207.0,765058.0,224481,3497,122704,2130,87,24.4,2017
43,Diablo III,17199177.0,1127074.0,43336,1424,87622,1963,128,15.26,2017
44,NBA 2K17,16461028.0,1486300.0,23852,1295,139820,1879,169,11.08,2017
45,Gwent: The Witcher Card Game,15884177.0,259165.0,49264,228,19134,1813,29,61.29,2017
46,Super Smash Bros. Melee,15711753.0,160100.0,152438,68,11372,1793,18,98.14,2017
47,Call of Duty: Infinite Warfare,15100313.0,1288070.0,116685,776,148205,1723,147,11.72,2017
48,Music,14881916.0,606026.0,21308,184,31638,1699,69,24.56,2017
49,Tekken 7,14476899.0,284350.0,142873,508,42188,1652,32,50.91,2017
0,League of Legends,1035469850.0,14057492.0,952308,2945,625380,117894,1600,73.66,2016
1,Counter-Strike,526391918.0,7823567.0,1059002,2197,572379,59933,890,67.28,2016
2,Dota 2,496585969.0,3852651.0,623824,1100,188569,56539,438,128.89,2016
3,Hearthstone,474016816.0,2353199.0,331248,1220,196072,53969,267,201.44,2016
4,Overwatch,178958678.0,6443412.0,302141,9741,564462,20375,733,27.77,2016
5,World of Warcraft,149529985.0,4830118.0,227428,4567,206776,17024,549,30.96,2016
6,Call of Duty: Black Ops III,123964703.0,10455019.0,167067,4443,955226,14114,1190,11.86,2016
7,Minecraft,88988436.0,4665669.0,90527,1538,502316,10131,531,19.07,2016
8,Z1: Battle Royale,87872183.0,2172785.0,84161,882,117639,10004,247,40.44,2016
9,Talk Shows & Podcasts,81865580.0,691537.0,321911,283,76952,9320,78,118.38,2016
10,Destiny,76704872.0,8456705.0,234438,5970,369032,8733,962,9.07,2016
11,RuneScape,61182148.0,888546.0,85177,215,48329,6965,101,68.86,2016
12,World of Tanks,57648342.0,1426152.0,146906,379,85965,6563,162,40.42,2016
13,StarCraft II,54829375.0,635013.0,130773,178,29541,6242,72,86.34,2016
14,Tom Clancy's The Division,51054033.0,2962910.0,159832,5280,324682,5812,337,17.23,2016
15,Dead by Daylight,50909393.0,883013.0,79013,548,52152,5796,100,57.65,2016
16,Creative,47546582.0,1870734.0,69027,466,114631,5413,212,25.42,2016
17,DARK SOULS III,43748880.0,1904852.0,121710,3238,189903,4981,216,22.97,2016
18,Arma 3,43464489.0,1058926.0,55686,318,52917,4948,120,41.05,2016
19,Heroes of the Storm,40131824.0,1071069.0,86526,362,72061,4569,121,37.47,2016
20,Poker,36522022.0,421870.0,48194,176,14671,4158,48,86.57,2016
21,Grand Theft Auto V,35570774.0,4047957.0,54948,1557,547927,4049,460,8.79,2016
22,Street Fighter V,34646634.0,413928.0,212889,760,38715,3944,47,83.7,2016
23,Tom Clancy's Rainbow Six Siege,32430212.0,2653039.0,62002,929,278151,3692,302,12.22,2016
24,FIFA 16,32138967.0,1355400.0,145728,756,198642,3659,154,23.71,2016
25,SMITE,32077289.0,1530469.0,70542,467,131246,3652,174,20.96,2016
26,FIFA 17,28660792.0,588590.0,78113,1142,86069,3263,67,48.69,2016
27,NBA 2K16,26592856.0,2036248.0,33636,792,203557,3027,231,13.06,2016
28,Path of Exile,26576879.0,724612.0,25344,764,31568,3025,82,36.68,2016
29,Rocket League,22561603.0,1666604.0,82917,640,268504,2568,189,13.54,2016
30,Magic: The Gathering,22236829.0,160208.0,42656,56,5332,2531,18,138.8,2016
31,DayZ,22029811.0,676588.0,41315,280,36440,2508,77,32.56,2016
32,Battlefield 1,20197847.0,1066105.0,80858,1548,215838,2299,121,18.95,2016
33,Super Mario Maker,19402012.0,221651.0,232989,84,8026,2209,25,87.53,2016
34,Diablo III,18976131.0,971355.0,57383,2185,85916,2160,110,19.54,2016
35,Rust,18232777.0,622449.0,57838,255,48400,2075,70,29.29,2016
36,Music,17736061.0,313111.0,137263,99,30361,2019,35,56.64,2016
37,ARK: Survival Evolved,17088903.0,966769.0,51065,539,65661,1945,110,17.68,2016
38,Super Smash Bros. Melee,16679127.0,133120.0,223070,59,10742,1899,15,125.29,2016
39,Halo 5: Guardians,14237628.0,805533.0,93722,289,79443,1621,91,17.67,2016
40,Clash Royale,13602163.0,234876.0,80581,86,29084,1548,26,57.91,2016
41,E3 2016,13579300.0,16245.0,891816,980,2548,1546,1,835.91,2016
42,Blade & Soul,13425417.0,669617.0,67256,1099,43720,1528,76,20.05,2016
43,Super Smash Bros. for Wii U,13409439.0,210652.0,92079,268,11364,1526,23,63.66,2016
44,The Culling,12992786.0,192076.0,73601,320,18626,1479,21,67.64,2016
45,Pokémon Omega Ruby/Alpha Sapphire,12396113.0,259499.0,44480,85,9684,1411,29,47.77,2016
46,Black Desert,11856411.0,549620.0,50609,744,30352,1349,62,21.57,2016
47,The Elder Scrolls V: Skyrim,11763110.0,668425.0,168538,1011,71404,1339,76,17.6,2016
48,Warcraft III,11496970.0,204498.0,41269,69,7673,1309,23,56.22,2016
49,No Man's Sky,11349022.0,467265.0,218360,4689,76389,1292,53,24.29,2016
