,Game,Watch time (hrs),Stream time (hrs),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Year,publisher,release_date_x,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,metascore,userscore,year,metascore_binned
0,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2013.0,Excellent
1,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,81.0,27.0,2022.0,Great
3,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2014.0,Excellent
4,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,79.0,37.0,2022.0,Good
5,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,79.0,2014.0,Excellent
6,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,96.0,78.0,2015.0,Excellent
7,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2013.0,Excellent
8,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,81.0,27.0,2022.0,Great
10,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2014.0,Excellent
11,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,79.0,37.0,2022.0,Good
12,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,79.0,2014.0,Excellent
13,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,96.0,78.0,2015.0,Excellent
14,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2013.0,Excellent
15,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,81.0,27.0,2022.0,Great
17,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2014.0,Excellent
18,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,79.0,37.0,2022.0,Good
19,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,79.0,2014.0,Excellent
20,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,96.0,78.0,2015.0,Excellent
21,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2013.0,Excellent
22,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,XOne,Action,2.66,2.01,0.0,0.41,5.08,81.0,27.0,2022.0,Great
24,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2014.0,Excellent
25,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,XOne,Action,2.66,2.01,0.0,0.41,5.08,79.0,37.0,2022.0,Good
26,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,79.0,2014.0,Excellent
27,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,XOne,Action,2.66,2.01,0.0,0.41,5.08,96.0,78.0,2015.0,Excellent
28,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,83.0,2013.0,Excellent
29,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PC,Action,0.36,0.64,0.0,0.08,1.08,81.0,27.0,2022.0,Great
31,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,83.0,2014.0,Excellent
32,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PC,Action,0.36,0.64,0.0,0.08,1.08,79.0,37.0,2022.0,Good
33,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,79.0,2014.0,Excellent
34,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2013-09-17,PC,Action,0.36,0.64,0.0,0.08,1.08,96.0,78.0,2015.0,Excellent
35,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2013.0,Excellent
36,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS3,Action,7.01,9.27,0.97,4.14,21.4,81.0,27.0,2022.0,Great
38,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2014.0,Excellent
39,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS3,Action,7.01,9.27,0.97,4.14,21.4,79.0,37.0,2022.0,Good
40,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,79.0,2014.0,Excellent
41,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS3,Action,7.01,9.27,0.97,4.14,21.4,96.0,78.0,2015.0,Excellent
42,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2013.0,Excellent
43,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,X360,Action,9.63,5.31,0.06,1.38,16.38,81.0,27.0,2022.0,Great
45,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2014.0,Excellent
46,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,X360,Action,9.63,5.31,0.06,1.38,16.38,79.0,37.0,2022.0,Good
47,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,79.0,2014.0,Excellent
48,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,X360,Action,9.63,5.31,0.06,1.38,16.38,96.0,78.0,2015.0,Excellent
49,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2013.0,Excellent
50,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS4,Action,3.8,5.81,0.36,2.02,11.98,81.0,27.0,2022.0,Great
52,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2014.0,Excellent
53,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS4,Action,3.8,5.81,0.36,2.02,11.98,79.0,37.0,2022.0,Good
54,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,79.0,2014.0,Excellent
55,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PS4,Action,3.8,5.81,0.36,2.02,11.98,96.0,78.0,2015.0,Excellent
56,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2013.0,Excellent
57,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,XOne,Action,2.66,2.01,0.0,0.41,5.08,81.0,27.0,2022.0,Great
59,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2014.0,Excellent
60,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,XOne,Action,2.66,2.01,0.0,0.41,5.08,79.0,37.0,2022.0,Good
61,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,79.0,2014.0,Excellent
62,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,XOne,Action,2.66,2.01,0.0,0.41,5.08,96.0,78.0,2015.0,Excellent
63,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,83.0,2013.0,Excellent
64,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PC,Action,0.36,0.64,0.0,0.08,1.08,81.0,27.0,2022.0,Great
66,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,83.0,2014.0,Excellent
67,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PC,Action,0.36,0.64,0.0,0.08,1.08,79.0,37.0,2022.0,Good
68,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,79.0,2014.0,Excellent
69,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2015-04-14,PC,Action,0.36,0.64,0.0,0.08,1.08,96.0,78.0,2015.0,Excellent
70,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2013.0,Excellent
71,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS3,Action,7.01,9.27,0.97,4.14,21.4,81.0,27.0,2022.0,Great
73,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2014.0,Excellent
74,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS3,Action,7.01,9.27,0.97,4.14,21.4,79.0,37.0,2022.0,Good
75,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,79.0,2014.0,Excellent
76,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS3,Action,7.01,9.27,0.97,4.14,21.4,96.0,78.0,2015.0,Excellent
77,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2013.0,Excellent
78,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,X360,Action,9.63,5.31,0.06,1.38,16.38,81.0,27.0,2022.0,Great
80,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2014.0,Excellent
81,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,X360,Action,9.63,5.31,0.06,1.38,16.38,79.0,37.0,2022.0,Good
82,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,79.0,2014.0,Excellent
83,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,X360,Action,9.63,5.31,0.06,1.38,16.38,96.0,78.0,2015.0,Excellent
84,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2013.0,Excellent
85,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS4,Action,3.8,5.81,0.36,2.02,11.98,81.0,27.0,2022.0,Great
87,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2014.0,Excellent
88,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS4,Action,3.8,5.81,0.36,2.02,11.98,79.0,37.0,2022.0,Good
89,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,79.0,2014.0,Excellent
90,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PS4,Action,3.8,5.81,0.36,2.02,11.98,96.0,78.0,2015.0,Excellent
91,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2013.0,Excellent
92,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,XOne,Action,2.66,2.01,0.0,0.41,5.08,81.0,27.0,2022.0,Great
94,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2014.0,Excellent
95,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,XOne,Action,2.66,2.01,0.0,0.41,5.08,79.0,37.0,2022.0,Good
96,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,79.0,2014.0,Excellent
97,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,XOne,Action,2.66,2.01,0.0,0.41,5.08,96.0,78.0,2015.0,Excellent
98,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,83.0,2013.0,Excellent
99,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PC,Action,0.36,0.64,0.0,0.08,1.08,81.0,27.0,2022.0,Great
101,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,83.0,2014.0,Excellent
102,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PC,Action,0.36,0.64,0.0,0.08,1.08,79.0,37.0,2022.0,Good
103,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,79.0,2014.0,Excellent
104,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2014-11-18,PC,Action,0.36,0.64,0.0,0.08,1.08,96.0,78.0,2015.0,Excellent
105,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2013.0,Excellent
106,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS3,Action,7.01,9.27,0.97,4.14,21.4,81.0,27.0,2022.0,Great
108,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,83.0,2014.0,Excellent
109,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS3,Action,7.01,9.27,0.97,4.14,21.4,79.0,37.0,2022.0,Good
110,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS3,Action,7.01,9.27,0.97,4.14,21.4,97.0,79.0,2014.0,Excellent
111,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS3,Action,7.01,9.27,0.97,4.14,21.4,96.0,78.0,2015.0,Excellent
112,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2013.0,Excellent
113,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,X360,Action,9.63,5.31,0.06,1.38,16.38,81.0,27.0,2022.0,Great
115,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,83.0,2014.0,Excellent
116,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,X360,Action,9.63,5.31,0.06,1.38,16.38,79.0,37.0,2022.0,Good
117,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,X360,Action,9.63,5.31,0.06,1.38,16.38,97.0,79.0,2014.0,Excellent
118,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,X360,Action,9.63,5.31,0.06,1.38,16.38,96.0,78.0,2015.0,Excellent
119,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2013.0,Excellent
120,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS4,Action,3.8,5.81,0.36,2.02,11.98,81.0,27.0,2022.0,Great
122,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,83.0,2014.0,Excellent
123,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS4,Action,3.8,5.81,0.36,2.02,11.98,79.0,37.0,2022.0,Good
124,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS4,Action,3.8,5.81,0.36,2.02,11.98,97.0,79.0,2014.0,Excellent
125,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PS4,Action,3.8,5.81,0.36,2.02,11.98,96.0,78.0,2015.0,Excellent
126,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2013.0,Excellent
127,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,XOne,Action,2.66,2.01,0.0,0.41,5.08,81.0,27.0,2022.0,Great
129,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,83.0,2014.0,Excellent
130,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,XOne,Action,2.66,2.01,0.0,0.41,5.08,79.0,37.0,2022.0,Good
131,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,XOne,Action,2.66,2.01,0.0,0.41,5.08,97.0,79.0,2014.0,Excellent
132,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,XOne,Action,2.66,2.01,0.0,0.41,5.08,96.0,78.0,2015.0,Excellent
133,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,83.0,2013.0,Excellent
134,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PC,Action,0.36,0.64,0.0,0.08,1.08,81.0,27.0,2022.0,Great
136,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,83.0,2014.0,Excellent
137,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PC,Action,0.36,0.64,0.0,0.08,1.08,79.0,37.0,2022.0,Good
138,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PC,Action,0.36,0.64,0.0,0.08,1.08,97.0,79.0,2014.0,Excellent
139,Grand Theft Auto V,1334643691.0,24501434.0,528554,5377,1480243,152373,2797,54.47,2023,Rockstar Games,2021-12-01,PC,Action,0.36,0.64,0.0,0.08,1.08,96.0,78.0,2015.0,Excellent
142,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023,Valve,2000-11-09,XB,Shooter,0.85,0.23,0.0,0.04,1.11,74.0,76.0,2003.0,Good
143,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023,Valve,2000-11-09,XB,Shooter,0.85,0.23,0.0,0.04,1.11,88.0,92.0,2000.0,Great
144,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023,Sierra Studios,2000-11-08,XB,Shooter,0.85,0.23,0.0,0.04,1.11,74.0,76.0,2003.0,Good
145,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023,Sierra Studios,2000-11-08,XB,Shooter,0.85,0.23,0.0,0.04,1.11,88.0,92.0,2000.0,Great
146,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023,Microsoft Game Studios,2003-11-18,XB,Shooter,0.85,0.23,0.0,0.04,1.11,74.0,76.0,2003.0,Good
147,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023,Microsoft Game Studios,2003-11-18,XB,Shooter,0.85,0.23,0.0,0.04,1.11,88.0,92.0,2000.0,Great
148,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023,Valve Corporation,2013-01-24,XB,Shooter,0.85,0.23,0.0,0.04,1.11,74.0,76.0,2003.0,Good
149,Counter-Strike,686253955.0,11619337.0,1117445,4016,864073,78348,1326,59.06,2023,Valve Corporation,2013-01-24,XB,Shooter,0.85,0.23,0.0,0.04,1.11,88.0,92.0,2000.0,Great
