Year,Game,Platform,Publisher
1.,Call of Duty: Black Ops,Treyarch,Activision Blizzard
2.,Madden NFL 11,EA Tiburon,Electronic Arts
3.,Halo: Reach,Bungie,Microsoft Game Studios
4.,New Super Mario Bros. Wii,Nintendo EAD,Nintendo
5.,Red Dead Redemption,Rockstar San Diego,Take-Two Interactive
6.,Wii Fit Plus,Nintendo EAD,Nintendo
7.,Just Dance 2,"Ubisoft Paris,Ubisoft Millan",Ubisoft
8.,Call of Duty: Modern Warfare 2,Infinity Ward,Activision Blizzard
9.,Assassin's Creed: Brotherhood,Ubisoft Montreal,Ubisoft
10.,NBA 2K11,Visual Concepts,Take-Two Interactive
1.,Call of Duty: Modern Warfare 3,"Infinity Ward,Sledgehammer Games",Activision Blizzard
2.,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks
3.,Madden NFL 12,EA Tiburon,Electronic Arts
5.,Call of Duty: Black Ops,Treyarch,Activision Blizzard
6.,Just Dance 3,"Ubisoft Paris,Ubisoft Reflections,Ubisoft Montreal",Ubisoft
7.,Gears of War 3,Epic Games,Microsoft Studios
8.,Batman: Arkham City,Rocksteady Studios,Warner Bros. Games
9.,Pokémon Black/White,Game Freak,Nintendo
10.,Assassin's Creed Revelations,Ubisoft Montreal,Ubisoft
1.,Call of Duty: Black Ops II,Treyarch,Activision Blizzard
2.,Madden NFL 13,EA Tiburon,Electronic Arts
3.,Halo 4,343 Industries,Microsoft Studios
4.,Assassin's Creed III,Ubisoft Montreal,Ubisoft
6.,NBA 2K13,Visual Concepts,Take-Two Interactive
8.,Call of Duty: Modern Warfare 3,"Infinity Ward,Sledgehammer Games",Activision Blizzard
9.,Lego Batman 2: DC Super Heroes,Traveller's Tales,Warner Bros. Games
10.,FIFA 13,EA Vancouver,Electronic Arts
1.,Grand Theft Auto V,Rockstar North,Take-Two Interactive
2.,Call of Duty: Ghosts,Infinity Ward,Activision Blizzard
3.,Madden NFL 25,EA Tiburon,Electronic Arts
5.,Assassin's Creed IV: Black Flag,Ubisoft Montreal,Ubisoft
6.,NBA 2K14,Visual Concepts,Take-Two Interactive
7.,Call of Duty: Black Ops II,Treyarch,Activision Blizzard
8.,Just Dance 2014,"Ubisoft Paris,Ubisoft Millan",Ubisoft
9.,Minecraft,Mojang Studios,Mojang Studios
10.,Disney Infinity,Avalanche Software,Disney Interactive Studios
1.,Call of Duty: Advanced Warfare,Sledgehammer Games,Activision Blizzard
2.,Madden NFL 15,EA Tiburon,Electronic Arts
