,title,publisher,release_date,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Released on PS2
1,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,PS2,Racing,2.03,1.79,0.08,0.47,4.37,True
2,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,PS3,Racing,0.71,1.51,0.06,0.61,2.89,False
3,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,X360,Racing,0.62,0.8,0.01,0.15,1.58,False
4,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,X360,Racing,1.0,0.17,0.02,0.1,1.29,False
5,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,PSV,Racing,0.38,0.52,0.01,0.25,1.16,False
6,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,XB,Racing,0.53,0.46,0.0,0.05,1.04,False
7,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,GC,Racing,0.43,0.11,0.0,0.02,0.56,False
8,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,PC,Racing,0.02,0.23,0.0,0.05,0.3,False
9,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,WiiU,Racing,0.14,0.12,0.0,0.02,0.28,False
10,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,DS,Racing,0.24,0.01,0.0,0.02,0.27,False
11,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,GBA,Racing,0.19,0.07,0.0,0.0,0.26,False
12,Need for Speed: Most Wanted,Electronic Arts,2005-11-15,PC,Racing,0.0,0.06,0.0,0.02,0.08,False
15,Grand Theft Auto: Vice City,Rockstar Games,2002-10-29,PS2,Action,8.41,5.49,0.47,1.78,16.15,True
16,Grand Theft Auto: Vice City,Rockstar Games,2002-10-29,PC,Action,0.0,0.03,0.0,0.01,0.04,False
17,Grand Theft Auto: San Andreas,Rockstar Games,2004-10-26,PS2,Action,9.43,0.4,0.41,10.57,20.81,True
18,Grand Theft Auto: San Andreas,Rockstar Games,2004-10-26,XB,Action,1.26,0.61,0.0,0.09,1.95,False
19,Grand Theft Auto: San Andreas,Rockstar Games,2004-10-26,PC,Action,0.0,0.92,0.0,0.05,0.98,False
20,Grand Theft Auto: San Andreas,Rockstar Games,2004-10-26,X360,Action,0.08,0.03,0.0,0.01,0.12,False
21,Super Mario Bros. 3,Nintendo,1990-02-12,NES,Platform,9.54,3.44,3.84,0.46,17.28,False
22,Super Mario Bros. 3,Nintendo,1990-02-12,GBA,Platform,2.93,1.25,0.83,0.2,5.2,False
23,RollerCoaster Tycoon,Hasbro Interactive,1999-03-22,XB,Strategy,0.1,0.03,0.0,0.0,0.13,False
24,RollerCoaster Tycoon,Hasbro Interactive,1999-03-22,PC,Strategy,0.02,0.02,0.0,0.01,0.04,False
25,Persona,Atlus,1996-11-01,PS,Role-Playing,0.0,0.0,0.42,0.03,0.45,False
26,SoulCalibur,Namco,1996-12-20,DC,Fighting,0.0,0.0,0.34,0.0,0.34,False
31,Metroid,Nintendo,1987-08-15,NES,Action,1.33,0.31,1.04,0.05,2.73,False
34,Mario Tennis,Nintendo,1995-08-14,N64,Sports,0.78,0.4,1.06,0.07,2.32,False
35,Mario Tennis,Nintendo,1995-08-14,GB,Sports,0.5,0.18,0.44,0.06,1.18,False
36,Mario Tennis,Nintendo,1995-08-14,Wii,Sports,0.0,0.06,0.0,0.01,0.07,False
37,Mario Tennis,Nintendo,1995-08-14,3DS,Sports,0.0,0.0,0.02,0.0,0.02,False
38,Deus Ex,Eidos Interactive,2000-06-17,PC,Role-Playing,0.0,0.01,0.0,0.0,0.01,False
40,Uncharted 4: A Thief's End,Sony Interactive Entertainment,2016-05-10,PS4,Shooter,1.3,2.07,0.18,0.65,4.2,False
42,Grand Theft Auto: Vice City,Rockstar Games,2002-10-28,PS2,Action,8.41,5.49,0.47,1.78,16.15,True
43,Grand Theft Auto: Vice City,Rockstar Games,2002-10-28,PC,Action,0.0,0.03,0.0,0.01,0.04,False
46,Mass Effect,Electronic Arts,2007-11-20,X360,Role-Playing,1.83,0.8,0.03,0.27,2.93,False
47,Mass Effect,Electronic Arts,2007-11-20,PC,Role-Playing,0.0,0.59,0.0,0.09,0.68,False
48,The Sims,Electronic Arts,2000-02-04,PS2,Simulation,1.41,1.12,0.0,0.24,2.77,True
49,The Sims,Electronic Arts,2000-02-04,GC,Simulation,0.35,0.13,0.0,0.01,0.49,False
50,The Sims,Electronic Arts,2000-02-04,XB,Simulation,0.31,0.1,0.0,0.01,0.42,False
51,The Sims,Electronic Arts,2000-02-04,PC,Simulation,0.01,0.03,0.0,0.01,0.05,False
52,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,2015-05-19,PS4,Role-Playing,0.96,2.0,0.21,0.56,3.73,False
53,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,2015-05-19,XOne,Role-Playing,0.66,0.47,0.0,0.11,1.24,False
54,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,2015-05-19,PC,Role-Playing,0.2,0.42,0.0,0.05,0.67,False
55,Grand Theft Auto V,Rockstar Games,2013-09-17,PS3,Action,7.01,9.27,0.97,4.14,21.4,False
56,Grand Theft Auto V,Rockstar Games,2013-09-17,X360,Action,9.63,5.31,0.06,1.38,16.38,False
57,Grand Theft Auto V,Rockstar Games,2013-09-17,PS4,Action,3.8,5.81,0.36,2.02,11.98,False
58,Grand Theft Auto V,Rockstar Games,2013-09-17,XOne,Action,2.66,2.01,0.0,0.41,5.08,False
59,Grand Theft Auto V,Rockstar Games,2013-09-17,PC,Action,0.36,0.64,0.0,0.08,1.08,False
60,Call of Duty 4: Modern Warfare,Activision,2007-11-05,X360,Shooter,5.91,2.38,0.13,0.9,9.32,False
61,Call of Duty 4: Modern Warfare,Activision,2007-11-05,PS3,Shooter,3.1,2.3,0.28,1.04,6.72,False
62,Call of Duty 4: Modern Warfare,Activision,2007-11-05,PC,Shooter,0.0,1.12,0.0,0.03,1.15,False
63,Call of Duty 4: Modern Warfare,Activision,2007-11-05,DS,Shooter,0.96,0.02,0.01,0.08,1.06,False
64,Call of Duty: World at War,Activision,2008-11-11,X360,Shooter,4.79,1.9,0.0,0.69,7.37,False
65,Call of Duty: World at War,Activision,2008-11-11,PS3,Shooter,2.72,1.87,0.0,0.84,5.43,False
66,Call of Duty: World at War,Activision,2008-11-11,Wii,Shooter,1.2,0.59,0.0,0.19,1.97,False
67,Call of Duty: World at War,Activision,2008-11-11,DS,Shooter,0.57,0.26,0.0,0.08,0.91,False
68,Call of Duty: World at War,Activision,2008-11-11,PC,Shooter,0.02,0.13,0.0,0.03,0.19,False
73,Call of Duty: Black Ops 3,Activision,2015-11-06,PS4,Shooter,5.77,5.81,0.35,2.31,14.24,False
74,Call of Duty: Black Ops 3,Activision,2015-11-06,XOne,Shooter,4.52,2.09,0.01,0.67,7.3,False
75,Call of Duty: Black Ops 3,Activision,2015-11-06,PS3,Shooter,0.49,0.96,0.07,0.27,1.79,False
76,Call of Duty: Black Ops 3,Activision,2015-11-06,X360,Shooter,1.11,0.48,0.0,0.16,1.76,False
77,Call of Duty: Black Ops 3,Activision,2015-11-06,PC,Shooter,0.0,0.22,0.0,0.01,0.23,False
79,Counter-Strike: Source,VU Games,2004-11-16,PC,Shooter,0.0,0.07,0.0,0.02,0.09,False
80,Assassin's Creed IV: Black Flag,Ubisoft,2013-10-29,PS3,Action,1.33,1.71,0.13,0.73,3.89,False
81,Assassin's Creed IV: Black Flag,Ubisoft,2013-10-29,X360,Action,1.9,1.14,0.01,0.29,3.34,False
82,Assassin's Creed IV: Black Flag,Ubisoft,2013-10-29,PS4,Action,1.07,1.31,0.06,0.31,2.74,False
83,Assassin's Creed IV: Black Flag,Ubisoft,2013-10-29,XOne,Action,1.47,0.55,0.0,0.19,2.21,False
84,Assassin's Creed IV: Black Flag,Ubisoft,2013-10-29,PC,Action,0.22,0.38,0.0,0.1,0.69,False
85,Assassin's Creed IV: Black Flag,Ubisoft,2013-10-29,WiiU,Action,0.18,0.09,0.0,0.03,0.29,False
88,Battlefield 3,Electronic Arts,2011-10-25,X360,Shooter,4.46,2.13,0.06,0.69,7.34,False
89,Battlefield 3,Electronic Arts,2011-10-25,PS3,Shooter,2.85,2.93,0.35,1.1,7.23,False
90,Battlefield 3,Electronic Arts,2011-10-25,PC,Shooter,0.89,1.43,0.0,0.48,2.79,False
91,Burnout,EA Sports,2001-11-01,PS2,Racing,0.36,0.28,0.0,0.1,0.74,True
92,Burnout,EA Sports,2001-11-01,GC,Racing,0.23,0.06,0.0,0.01,0.3,False
93,Burnout,EA Sports,2001-11-01,XB,Racing,0.09,0.03,0.0,0.0,0.13,False
94,Dead Rising,Capcom,2006-08-08,X360,Action,1.16,0.65,0.08,0.2,2.09,False
95,Dead Rising,Capcom,2006-08-08,PS4,Action,0.01,0.0,0.0,0.0,0.02,False
97,Gex,BMG Interactive Entertainment,1995-04-01,PS,Platform,0.49,0.33,0.0,0.06,0.87,False
98,Just Cause,Eidos Interactive,2006-09-27,X360,Action,0.1,0.03,0.01,0.01,0.14,False
99,Just Cause,Eidos Interactive,2006-09-27,PC,Action,0.0,0.01,0.0,0.0,0.02,False
100,Just Cause,Eidos Interactive,2006-09-27,PS2,Action,0.01,0.01,0.0,0.0,0.02,True
101,Mario & Sonic at the Olympic Games,Sega,2007-11-06,Wii,Sports,2.58,3.9,0.66,0.91,8.06,False
102,Mario & Sonic at the Olympic Games,Sega,2007-11-06,DS,Sports,1.64,2.48,0.44,0.58,5.14,False
104,Red Dead Redemption,Rockstar Games,2010-05-18,PS3,Action,2.79,2.61,0.17,1.03,6.6,False
105,Red Dead Redemption,Rockstar Games,2010-05-18,X360,Action,3.7,1.97,0.09,0.57,6.34,False
106,Microsoft Flight Simulator,Microsoft,1982-11-01,PC,Simulation,3.22,1.69,0.0,0.2,5.12,False
109,Yakuza,Sega,2006-09-05,PS2,Action,0.03,0.02,0.74,0.01,0.8,True
110,Yakuza,Sega,2006-09-05,PS3,Action,0.0,0.0,0.11,0.0,0.11,False
111,Castlevania,Konami,1986-09-26,NES,Platform,0.54,0.06,0.62,0.01,1.23,False
112,Castlevania,Konami,1986-09-26,N64,Platform,0.44,0.1,0.04,0.05,0.64,False
113,Teenage Mutant Ninja Turtles,Konami,1989-05-12,NES,Action,3.38,0.44,0.31,0.04,4.17,False
114,Teenage Mutant Ninja Turtles,Konami,1989-05-12,GBA,Action,0.67,0.25,0.0,0.02,0.93,False
115,Teenage Mutant Ninja Turtles,Konami,1989-05-12,PS2,Action,0.45,0.35,0.0,0.12,0.92,True
116,Teenage Mutant Ninja Turtles,Konami,1989-05-12,GC,Action,0.26,0.07,0.0,0.01,0.34,False
117,Teenage Mutant Ninja Turtles,Konami,1989-05-12,XB,Action,0.22,0.06,0.0,0.01,0.3,False
118,Teenage Mutant Ninja Turtles,Konami,1989-05-12,Wii,Action,0.0,0.01,0.0,0.0,0.01,False
119,Dynasty Warriors,KOEI,1997-06-30,PSP,Action,0.18,0.01,0.3,0.02,0.51,False
120,Dynasty Warriors,KOEI,1997-06-30,PS,Action,0.09,0.06,0.11,0.02,0.27,False
121,Wii Fit Plus,Nintendo,2009-10-04,Wii,Sports,9.09,8.59,2.53,1.79,22.0,False
124,Naruto: Ultimate Ninja Storm,Namco Bandai Games,2008-11-04,PS3,Fighting,0.49,0.35,0.09,0.16,1.08,False
