,title,publisher,release_date,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Released on PS2
6502,Samurai Shodown,SNK,1993-08-11,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6503,Samurai Shodown,Takara,1994-01-01,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6504,Samurai Shodown,BMG Interactive Entertainment,1995-02-10,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6505,Samurai Shodown,JVC,1993-01-01,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6506,Samurai Shodown,D4 Enterprise,2008-06-16,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6507,Samurai Shodown,SNK Playmore,2010-12-21,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6508,Samurai Shodown,SNK,2019-06-27,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6509,Samurai Shodown,SNK,2019-07-27,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6510,Samurai Shodown,SNK,2020-02-25,SNES,Fighting,0.0,0.0,0.4,0.0,0.4,False
6511,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,Konami,2009-05-19,DS,Action,0.27,0.01,0.09,0.03,0.4,False
6512,Sid Meier's Civilization: Beyond Earth,2K Games,2014-10-24,PC,Strategy,0.11,0.22,0.0,0.03,0.37,False
6513,Sid Meier's Civilization: Beyond Earth,2K Games,2014-11-26,PC,Strategy,0.11,0.22,0.0,0.03,0.37,False
6514,Sid Meier's Civilization: Beyond Earth,2K Games,2014-12-18,PC,Strategy,0.11,0.22,0.0,0.03,0.37,False
6515,Fighting Vipers,Sega,1996-11-30,SAT,Fighting,0.0,0.0,0.4,0.0,0.4,False
6516,NCAA GameBreaker 2000,989 Studios,1999-07-31,PS,Sports,0.22,0.15,0.0,0.03,0.4,False
6517,Monster Trucks Mayhem,Zoo Games,2009-09-15,Wii,Racing,0.39,0.0,0.0,0.02,0.41,False
6518,Monster Trucks Mayhem,DSI Games,2006-09-05,Wii,Racing,0.39,0.0,0.0,0.02,0.41,False
6519,AKB1/48: Idol to Koishitara...,Namco Bandai,2010-12-23,PSP,Misc,0.0,0.0,0.41,0.0,0.41,False
6520,Caesar III,Sierra Studios,1998-09-30,PC,Strategy,0.0,0.03,0.0,0.01,0.04,False
6521,Caesar III,Sierra Entertainment,1998-09-30,PC,Strategy,0.0,0.03,0.0,0.01,0.04,False
6522,Gundam Breaker,Namco Bandai Games,2013-06-27,PS3,Action,0.0,0.0,0.26,0.0,0.26,False
6523,Gundam Breaker,Namco Bandai Games,2013-10-31,PS3,Action,0.0,0.0,0.26,0.0,0.26,False
6524,John Madden Football,Electronic Arts,1990-01-01,SNES,Sports,0.0,0.0,0.07,0.0,0.07,False
6525,John Madden Football,Electronic Arts,1991-11-01,SNES,Sports,0.0,0.0,0.07,0.0,0.07,False
6526,John Madden Football,EA Sports,1994-01-01,SNES,Sports,0.0,0.0,0.07,0.0,0.07,False
6527,Jurassic Park: Operation Genesis,Universal Interactive,2003-03-10,PS2,Simulation,0.13,0.1,0.0,0.03,0.27,True
6528,Jurassic Park: Operation Genesis,VU Games,2003-03-25,PS2,Simulation,0.13,0.1,0.0,0.03,0.27,True
6529,Jurassic Park: Operation Genesis,VU Games,2003-03-26,PS2,Simulation,0.13,0.1,0.0,0.03,0.27,True
6530,Jurassic Park: Operation Genesis,VU Games,2003-03-10,PS2,Simulation,0.13,0.1,0.0,0.03,0.27,True
6531,MDK,Playmates,1997-05-05,PS,Shooter,0.11,0.08,0.0,0.01,0.2,False
6532,MDK,Playmates,1998-11-30,PS,Shooter,0.11,0.08,0.0,0.01,0.2,False
6533,MDK,Playmates,1997-04-30,PS,Shooter,0.11,0.08,0.0,0.01,0.2,False
6534,NFL Quarterback Club 2000,Acclaim Entertainment,1999-08-31,N64,Sports,0.37,0.03,0.0,0.0,0.4,False
6535,NFL Quarterback Club 2000,Acclaim Entertainment,1999-10-31,N64,Sports,0.37,0.03,0.0,0.0,0.4,False
